gel,lane,vial,condition
MG001-37C-S-1.jpg,L01,"Box E, D10",Control
MG001-37C-S-1.jpg,L02,L,Ladder
MG001-37C-S-1.jpg,L03,"Box E, D10",Control
MG001-37C-S-1.jpg,L04,"Box L, H9",8w37c
MG001-37C-S-1.jpg,L05,"box L, F5",2w37c
MG001-37C-S-1.jpg,L06,"Box G, D7",8w37c
MG001-37C-S-1.jpg,L07,"Box G, D3",2w37c
MG001-37C-S-1.jpg,L08,"Box D, G4",8w37c
MG001-37C-S-1.jpg,L09,"Box D, B2",2w37c
MG001-37C-S-1.jpg,L10,"Box E, D10",Control
MG001-37C-S-1.jpg,L11,L,Ladder
MG001-37C-S-1.jpg,L12,"Box E, D10",Control
MG001-37C-S-2.jpg,L01,"Box E, D10",Control
MG001-37C-S-2.jpg,L02,L,Ladder
MG001-37C-S-2.jpg,L03,"Box E, D10",Control
MG001-37C-S-2.jpg,L04,"Box L, H9",8w37c
MG001-37C-S-2.jpg,L05,"box L, F5",2w37c
MG001-37C-S-2.jpg,L06,"Box G, D7",8w37c
MG001-37C-S-2.jpg,L07,"Box G, D3",2w37c
MG001-37C-S-2.jpg,L08,"Box D, G4",8w37c
MG001-37C-S-2.jpg,L09,"Box D, B2",2w37c
MG001-37C-S-2.jpg,L10,"Box E, D10",Control
MG001-37C-S-2.jpg,L11,L,Ladder
MG001-37C-S-2.jpg,L12,"Box E, D10",Control
MG001-37C-S-3.jpg,L01,"Box E, D10",Control
MG001-37C-S-3.jpg,L02,L,Ladder
MG001-37C-S-3.jpg,L03,"Box E, D10",Control
MG001-37C-S-3.jpg,L04,"Box L, H9",8w37c
MG001-37C-S-3.jpg,L05,"box L, F5",2w37c
MG001-37C-S-3.jpg,L06,"Box G, D7",8w37c
MG001-37C-S-3.jpg,L07,"Box G, D3",2w37c
MG001-37C-S-3.jpg,L08,"Box D, G4",8w37c
MG001-37C-S-3.jpg,L09,"Box D, B2",2w37c
MG001-37C-S-3.jpg,L10,"Box E, D10",Control
MG001-37C-S-3.jpg,L11,L,Ladder
MG001-37C-S-3.jpg,L12,"Box E, D10",Control
MG001-4C-S-1.jpg,L01,"Box E, D10",Control
MG001-4C-S-1.jpg,L02,L,Ladder
MG001-4C-S-1.jpg,L03,"Box E, D10",Control
MG001-4C-S-1.jpg,L04,"Box B, E1",8w4c
MG001-4C-S-1.jpg,L05,"Box B, C6",2w4c
MG001-4C-S-1.jpg,L06,"Box N, G5",8w4c
MG001-4C-S-1.jpg,L07,"Box C, D10",2w4c
MG001-4C-S-1.jpg,L08,"Box C, A9",8w4c
MG001-4C-S-1.jpg,L09,"Box N, D2",2w4c
MG001-4C-S-1.jpg,L10,"Box E, D10",Control
MG001-4C-S-1.jpg,L11,L,Ladder
MG001-4C-S-1.jpg,L12,"Box E, D10",Control
MG001-4C-S-2.jpg,L01,"Box E, D10",Control
MG001-4C-S-2.jpg,L02,L,Ladder
MG001-4C-S-2.jpg,L03,"Box E, D10",Control
MG001-4C-S-2.jpg,L04,"Box B, E1",8w4c
MG001-4C-S-2.jpg,L05,"Box B, C6",2w4c
MG001-4C-S-2.jpg,L06,"Box N, G5",8w4c
MG001-4C-S-2.jpg,L07,"Box C, D10",2w4c
MG001-4C-S-2.jpg,L08,"Box C, A9",8w4c
MG001-4C-S-2.jpg,L09,"Box N, D2",2w4c
MG001-4C-S-2.jpg,L10,"Box E, D10",Control
MG001-4C-S-2.jpg,L11,L,Ladder
MG001-4C-S-2.jpg,L12,"Box E, D10",Control
