Box,Position,temp,time,condition
7,22,37,2 week,2w37c
16,21,37,2 week,2w37c
19,28,37,2 week,2w37c
3,67,37,8 week ,8w37c
15,30,37,8 week ,8w37c
17,1,37,8 week ,8w37c
7,12,4,2 week,2w4c
16,75,4,2 week,2w4c
19,51,4,2 week,2w4c
3,17,4,8 week ,2w8c
15,21,4,8 week ,2w8c
17,72,4,8 week ,2w8c
7,13,-20,0 week,control
15,44,-20,0 week,control
